TestFile,segSNR,fw-segSNR,ESR,ESR+DC+prefilter,DI,ODG
./diode_clipper/runs/diodeclip/forward_euler/August12_08-14-18_axel_Hidden9Test44100/measures.csv,2.337637629958425478e+01,2.613497177993570730e+01,7.397201377898454666e-03,3.698765765875577927e-03,-7.717300000000000271e-01,-2.652359999999999829e+00
./diode_clipper/runs/diodeclip/forward_euler/August12_09-03-40_axel_Hidden100Test44100/measures.csv,2.534956298552100762e+01,2.522251280178823762e+01,1.794001087546348572e-03,8.971952483989298344e-04,-8.949850000000000305e-01,-2.761649999999999938e+00
./diode_clipper/runs/diodeclip/forward_euler/August12_09-19-42_axel_Hidden100Test22050/measures.csv,-5.719721000243506381e+00,3.891161324861324822e+00,1.047834300994873047e+01,5.250406742095947266e+00,-1.718620000000000037e+00,-3.341400000000000148e+00
./diode_clipper/runs/diodeclip/forward_euler/August12_09-29-20_axel_Hidden9Test22050/measures.csv,1.087144542182782203e+01,1.268707065336963602e+01,5.550996661186218262e-01,2.846590578556060791e-01,-3.923340000000000050e+00,-3.898559999999999803e+00
./diode_clipper/runs/diodeclip/forward_euler/August12_10-03-59_axel_Hidden100Test48000/measures.csv,2.586149254009000487e+01,2.570487758661048616e+01,1.608358928933739662e-03,8.043643319979310036e-04,-9.487879999999999647e-01,-2.807659999999999823e+00
./diode_clipper/runs/diodeclip/forward_euler/August12_10-21-56_axel_Hidden9Test48000/measures.csv,2.374719913189244735e+01,2.620812716681068721e+01,6.823571398854255676e-03,3.411854617297649384e-03,-3.900279999999999858e-01,-2.284419999999999895e+00
./diode_clipper/runs/diodeclip/forward_euler/August12_11-59-07_axel_Hidden100Test192000/measures.csv,2.844113731779512477e+01,2.685658045404515448e+01,1.396953710354864597e-03,6.986382650211453438e-04,-2.758109999999999729e-01,-2.167780000000000040e+00
./diode_clipper/runs/diodeclip/forward_euler/August12_13-04-06_axel_Hidden9Test192000/measures.csv,2.590506672661870979e+01,2.623042188080681925e+01,4.352950025349855423e-03,2.176812384277582169e-03,-5.397089999999999943e-01,-2.433330000000000215e+00
./diode_clipper/runs/diodeclip/lstm/August12_08-01-05_axel_Test44100/measures.csv,3.046791364786404088e+01,3.272933013902674304e+01,8.140654535964131355e-04,4.070622671861201525e-04,-1.341139999999999997e-03,-1.881410000000000027e+00
./diode_clipper/runs/diodeclip/lstm/August12_09-14-46_axel_Test22050/measures.csv,2.401538948269407214e+01,2.920696388592737236e+01,1.413794606924057007e-02,7.068993523716926575e-03,8.527900000000000480e-01,-1.035160000000000080e+00
./diode_clipper/runs/diodeclip/lstm/August12_09-52-48_axel_Test48000/measures.csv,3.000401008321255958e+01,3.086310083803524407e+01,8.456389186903834343e-04,4.228489997331053019e-04,3.654229999999999978e-02,-1.841630000000000100e+00
./diode_clipper/runs/diodeclip/lstm/August12_11-10-56_axel_Test192000/measures.csv,2.163767452775151412e+01,2.516655385522072663e+01,1.105926651507616043e-02,5.529654677957296371e-03,-2.219380000000000130e+00,-3.568299999999999805e+00
./diode_clipper/runs/diodeclip/odeint_implicit_adams/August12_08-32-05_axel_Test44100/measures.csv,2.459037820751718684e+01,2.473962568943084506e+01,2.279182430356740952e-03,1.144221401773393154e-03,-3.440630000000000077e+00,-3.849590000000000067e+00
./diode_clipper/runs/diodeclip/odeint_implicit_adams/August12_09-37-58_axel_Test22050/measures.csv,2.472908705917894245e+00,9.315222144216999567e+00,1.199186325073242188e+00,6.339708566665649414e-01,-3.044160000000000199e+00,-3.789019999999999833e+00
./diode_clipper/runs/diodeclip/odeint_implicit_adams/August12_10-37-29_axel_Test48000/measures.csv,2.479857278333279780e+01,2.511290721403559800e+01,1.868446473963558674e-03,9.365037549287080765e-04,-3.393619999999999859e+00,-3.843519999999999825e+00
./diode_clipper/runs/diodeclip/odeint_implicit_adams/August12_14-03-30_axel_Test192000/measures.csv,2.469134015539869154e+01,2.422887984710837728e+01,1.712050754576921463e-03,8.565530879423022270e-04,-3.385709999999999997e+00,-3.842470000000000052e+00
./diode_clipper/runs/diodeclip/resintrk4/August12_08-33-03_axel_Test44100/measures.csv,2.499745258850703422e+01,2.305321220879402233e+01,3.760113846510648727e-03,1.880422700196504593e-03,-8.939369999999999816e-01,-2.760749999999999815e+00
./diode_clipper/runs/diodeclip/resintrk4/August12_09-38-45_axel_Test22050/measures.csv,2.388722220444645217e+01,2.467365925037649887e+01,1.089444011449813843e-02,5.448894575238227844e-03,1.335379999999999900e-01,-1.739989999999999926e+00
./diode_clipper/runs/diodeclip/resintrk4/August12_10-38-35_axel_Test48000/measures.csv,2.504791356784856049e+01,2.362293953752070408e+01,3.602517070248723030e-03,1.801552833057940006e-03,-7.917739999999999778e-01,-2.670490000000000030e+00
./diode_clipper/runs/diodeclip/resintrk4/August12_14-05-01_axel_Test192000/measures.csv,2.056357146167423977e+01,2.483651429948321265e+01,1.115854457020759583e-02,5.579281132668256760e-03,-2.269899999999999807e+00,-3.586679999999999868e+00
./diode_clipper/runs/diodeclip/stn/August12_08-03-53_axel_Test44100/measures.csv,1.851637977747780539e+01,2.246669193721831093e+01,9.097337722778320312e-03,4.549246281385421753e-03,-1.634009999999999962e+00,-3.294220000000000148e+00
./diode_clipper/runs/diodeclip/stn/August12_09-15-52_axel_Test22050/measures.csv,5.110934062836182790e+00,9.426833943726109055e+00,4.537615299224853516e+00,2.269101858139038086e+00,-4.001310000000000144e+00,-3.904549999999999965e+00
./diode_clipper/runs/diodeclip/stn/August12_09-55-19_axel_Test48000/measures.csv,1.885502189142344776e+01,2.297941246342054811e+01,7.440049666911363602e-03,3.720563370734453201e-03,-1.506650000000000045e+00,-3.217970000000000219e+00
./diode_clipper/runs/diodeclip/stn/August12_11-21-43_axel_Test192000/measures.csv,1.897844098886112008e+01,2.372347881025904925e+01,7.181355729699134827e-03,3.591356100514531136e-03,-1.411790000000000100e+00,-3.157000000000000028e+00
